Threshold,Accuracy,Precision,Recall,F1,Fraud_Precision,Fraud_Recall,Fraud_F1
0.05,0.3809275664408546,0.6326430004317628,0.5860150025697513,0.3738655946525147,0.2831697564521992,0.9898348157560356,0.44036178631995476
0.06,0.3826993225638353,0.6322868026783085,0.5869046962453294,0.3759479521356899,0.28364917395529643,0.9889877170690385,0.4408571698291324
0.07,0.3849921834288692,0.6328183469133793,0.5884252934253127,0.37856223755150686,0.2844092570036541,0.9889877170690385,0.44177466654053543
0.08,0.38686816050026057,0.6325143335593648,0.5893841051545264,0.38074641428707134,0.2849291646311676,0.9881406183820415,0.4423168072803109
0.09,0.38863991662324127,0.6325664259076793,0.5904164554482181,0.3827788853577922,0.28546945770596155,0.987717069038543,0.44292497625830957
0.1,0.38999478895257944,0.6328857944167947,0.5913149901454811,0.3843097405472262,0.2859244727807749,0.987717069038543,0.4434724731387278
0.11,0.3917665450755602,0.6329465415055244,0.5923473404391728,0.38633129515082176,0.28646921469829173,0.9872935196950444,0.4440845875404839
0.12,0.3941636268890047,0.6317722888830184,0.5932237725822236,0.3891414826608548,0.2870187561697927,0.9851757729775519,0.4445293836598184
0.13,0.3966649296508598,0.6310268483191657,0.5943119793970236,0.3920274496400196,0.28766105054509417,0.9834815756035579,0.4451260423655708
0.14,0.40083376758728506,0.6288066321238295,0.5956501353613115,0.3968684196079192,0.28856714927608584,0.9792460821685727,0.4457726790706642
0.15,0.406774361646691,0.6254568115842254,0.5973073585287229,0.4036995848336177,0.2897892212545753,0.9724692926725964,0.44651886425515364
0.16,0.4129233976029182,0.6220171867187543,0.5988175045671782,0.410664766324205,0.29100664282064387,0.9648454044896231,0.4471488860535872
0.17,0.4201146430432517,0.615934348540541,0.599164295106512,0.4187612417405243,0.291931921527868,0.951715374841169,0.44680851063829785
0.18,0.43064095883272535,0.6107154353774344,0.6010095802716172,0.4301203768104834,0.29385964912280704,0.9364675984752223,0.4473444613050076
0.19,0.4436685773840542,0.6040650236910332,0.6022311928341587,0.4436460909362194,0.2959561343385881,0.9144430326132994,0.4471830985915493
0.2,0.4607608129233976,0.5950263680551868,0.6018687109450794,0.4603429340334002,0.29811970719104347,0.879711986446421,0.44532590051457976
0.21,0.48045857217300675,0.5857136974320828,0.5998104215621629,0.47792814848284776,0.3001827596710326,0.8348157560355781,0.4415817183824353
0.22,0.5040125065138092,0.5780934578563581,0.5975990244196046,0.4968601223891205,0.30311986863711,0.7818720880982635,0.43687137616850075
0.23,0.5303804064616988,0.5720406905769556,0.5946859955991619,0.5154732066923067,0.30679156908665106,0.7213045319779754,0.4304853387259858
0.24,0.554872329338197,0.5657078346028291,0.5883889925415736,0.5293590619642408,0.309,0.6543837357052097,0.4197799212063578
